账户,日期,时间,Symbol,操作,数量,成交价,佣金税费,操作前持仓,操作前成本,操作后持仓,操作后成本,备注
U12672188,20250407,20250407;121808,XPEV,买入,100.0,17.0,0.25,5159.0,17.4871,5259.0,17.4779,
U12672188,20250407,20250407;121808,XPEV,买入,200.0,17.0,0.51,5259.0,17.4779,5459.0,17.4605,
U12672188,20250407,20250407;121808,XPEV,买入,332.0,17.0,0.84,5459.0,17.4605,5791.0,17.4342,
U12672188,20250407,20250407;121808,XPEV,买入,39.0,17.0,0.1,5791.0,17.4342,5830.0,17.4314,
U12672188,20250407,20250407;121816,XPEV,买入,11.0,17.0,0.03,5830.0,17.4314,5841.0,17.4305,
U12672188,20250407,20250407;121816,XPEV,买入,28.0,17.0,0.07,5841.0,17.4305,5869.0,17.4285,
U12672188,20250407,20250407;121816,XPEV,买入,14.0,17.0,0.04,5869.0,17.4285,5883.0,17.4275,
U12672188,20250407,20250407;121816,XPEV,买入,59.0,17.0,0.15,5883.0,17.4275,5942.0,17.4233,
U12672188,20250407,20250407;121816,XPEV,买入,7.0,17.0,0.02,5942.0,17.4233,5949.0,17.4228,
U12672188,20250407,20250407;121816,XPEV,买入,4051.0,17.0,27.29,5949.0,17.4228,10000.0,17.2542,
U12672188,20250407,20250407;123351,XPEV,买入,100.0,17.17,0.67,10000.0,17.2542,10100.0,17.2535,
U12672188,20250407,20250407;123352,XPEV,买入,4600.0,17.178,17.24,10100.0,17.2535,14700.0,17.231,
U12672188,20250407,20250407;123352,XPEV,买入,200.0,17.175,0.75,14700.0,17.231,14900.0,17.2303,
U12672188,20250407,20250407;123352,XPEV,买入,100.0,17.175,0.37,14900.0,17.2303,15000.0,17.23,
U12672188,20250407,20250407;134319,XPEV,买入,100.0,17.65,0.25,15000.0,17.23,15100.0,17.2328,
U12672188,20250407,20250407;134319,XPEV,买入,1278.0,17.65,3.24,15100.0,17.2328,16378.0,17.2655,
U12672188,20250407,20250407;134319,XPEV,买入,836.0,17.65,2.12,16378.0,17.2655,17214.0,17.2843,
U12672188,20250407,20250407;134319,XPEV,买入,30.0,17.65,0.08,17214.0,17.2843,17244.0,17.285,
U12672188,20250407,20250407;134319,XPEV,买入,506.0,17.65,1.28,17244.0,17.285,17750.0,17.2954,
U12672188,20250407,20250407;134320,XPEV,买入,2250.0,17.65,5.71,17750.0,17.2954,20000.0,17.3356,
U12672188,20250407,20250407;151956,SGOV,卖出,436.0,100.413,2.92,5234.1882,100.4967,4798.1882,100.4967,
U12672188,20250407,20250407;151956,SGOV,卖出,300.0,100.4101,2.01,4798.1882,100.4967,4498.1882,100.4967,
